# Author(s);Watermeyer, K., & Zimmermann, J. ;;;
# Reference;Watermeyer, K., & Zimmermann, J. (2021). A partition-based branch-and-bound algorithm for the project duration problem with partially renewable resources and general temporal constraints. OR Spectrum. https://doi.org/10.1007/s00291-021-00654-9;;;
# Date;09/12/2021;;;
# Hardware / software;Coded in C++, compiled with the 64-bit Visual Studio 2017 C++, and run on a single thread of an Intel Core i7-8700 CPU with 3.2 GHz and 64 GB RAM under Windows 10;;;
# Stop criteria(s);"BB1 procedure, with stop criteria set: 300; 600; 1200; 3600 seconds (detailed results: http://solutionsupdate.ugent.be/sites/default/files/results/josecoelho/2022-03-07/results_BB1_cv.zip)";;;
# Submission date; 2022/03/07;;;
ID;Type;Value;Time;Solution
428;lower bound;35;3600000;
429;heuristic;66;3600000;
429;lower bound;34;3600000;
430;optimal;64;781879;
431;optimal;62;1037720;
432;heuristic;66;3600000;
432;lower bound;41;3600000;
433;heuristic;60;3600000;
433;lower bound;40;3600000;
434;heuristic;73;3600000;
434;lower bound;38;3600000;
435;optimal;69;232972;
436;heuristic;64;3600000;
436;lower bound;33;3600000;
437;optimal;57;115418;
438;optimal;64;1414630;
439;heuristic;58;3600000;
439;lower bound;30;3600000;
440;heuristic;74;3600000;
440;lower bound;45;3600000;
441;heuristic;74;3600000;
441;lower bound;31;3600000;
442;heuristic;69;3600000;
442;lower bound;27;3600000;
443;optimal;71;900058;
444;optimal;69;801926;
445;heuristic;75;3600000;
445;lower bound;47;3600000;
446;optimal;84;1853540;
447;heuristic;75;3600000;
447;lower bound;54;3600000;
448;heuristic;78;3600000;
448;lower bound;38;3600000;
449;heuristic;72;3600000;
449;lower bound;41;3600000;
450;optimal;64;2362700;
451;heuristic;59;3600000;
451;lower bound;36;3600000;
452;heuristic;71;3600000;
452;lower bound;34;3600000;
453;optimal;73;3531990;
454;heuristic;63;3600000;
454;lower bound;36;3600000;
455;heuristic;72;3600000;
455;lower bound;52;3600000;
456;heuristic;61;3600000;
456;lower bound;31;3600000;
457;heuristic;54;3600000;
457;lower bound;35;3600000;
458;heuristic;61;3600000;
458;lower bound;27;3600000;
459;heuristic;74;3600000;
459;lower bound;27;3600000;
460;heuristic;69;3600000;
460;lower bound;37;3600000;
461;heuristic;84;3600000;
461;lower bound;47;3600000;
462;heuristic;69;3600000;
462;lower bound;31;3600000;
463;heuristic;63;3600000;
463;lower bound;29;3600000;
464;optimal;61;483255;
465;optimal;73;561291;
466;heuristic;69;3600000;
466;lower bound;35;3600000;
467;heuristic;59;3600000;
467;lower bound;42;3600000;
468;heuristic;60;3600000;
468;lower bound;40;3600000;
469;heuristic;56;3600000;
469;lower bound;29;3600000;
470;heuristic;59;3600000;
470;lower bound;33;3600000;
471;heuristic;70;3600000;
471;lower bound;29;3600000;
472;optimal;66;3461440;
473;heuristic;63;3600000;
473;lower bound;39;3600000;
474;heuristic;59;3600000;
474;lower bound;24;3600000;
475;heuristic;57;3600000;
475;lower bound;38;3600000;
476;heuristic;57;3600000;
476;lower bound;37;3600000;
477;heuristic;57;3600000;
477;lower bound;30;3600000;
478;optimal;51;948315;
479;heuristic;64;3600000;
479;lower bound;39;3600000;
480;heuristic;64;3600000;
480;lower bound;35;3600000;
481;heuristic;59;3600000;
481;lower bound;35;3600000;
482;optimal;66;130808;
483;heuristic;73;3600000;
483;lower bound;51;3600000;
484;heuristic;62;3600000;
484;lower bound;44;3600000;
485;heuristic;71;3600000;
485;lower bound;37;3600000;
486;heuristic;64;3600000;
486;lower bound;31;3600000;
487;heuristic;55;3600000;
487;lower bound;28;3600000;
488;optimal;64;1982660;
489;optimal;47;2959200;
490;optimal;52;807784;
491;optimal;50;447250;
492;optimal;53;3129820;
493;optimal;51;546189;
494;optimal;50;1045970;
495;heuristic;48;3600000;
495;lower bound;33;3600000;
496;optimal;53;54034;
497;optimal;52;604637;
498;heuristic;78;3600000;
498;lower bound;36;3600000;
499;heuristic;89;3600000;
499;lower bound;44;3600000;
500;heuristic;42;3600000;
500;lower bound;28;3600000;
501;heuristic;47;3600000;
501;lower bound;30;3600000;
502;heuristic;52;3600000;
502;lower bound;36;3600000;
503;heuristic;44;3600000;
503;lower bound;31;3600000;
504;heuristic;49;3600000;
504;lower bound;30;3600000;
505;optimal;44;3300670;
506;optimal;58;565104;
507;optimal;53;319230;
508;heuristic;62;3600000;
508;lower bound;29;3600000;
509;optimal;74;604973;
